0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
4,20,10,5,5,5,5,8,8,5,5,5,5,8,47,47
,,,,,,,,,,,,,,,
,,,BẢNG TÍNH CHI TIẾT SẢN PHẨM,,,,,,,,,,,,
,,,,,,,,,,,,,Lần ban hành: 01,,
,,,,,,,,,,,,,Ngày ban hành: ,,
,,,,,,,,,,,,,,,
,Tên sản phẩm:, 1 Drawer Bedside Table,,,,,,Tên khách hàng: ,,MFC,,,X. SX:,,
,Mã số:,,,,,,,Ngày nhận thông tin: ,,,,,GĐ. SX:,,
,Số phiếu:,W,D,H,,,,Loại sản phẩm: SOHO,,,,,P. KT -CL,,
,Kích thước tổng thế:,400,350,550,MM,,,Ngày thay đổi: 08/01/2026,,,,,,,
,,,,,,,,Tài liệu dùng để lập bảng: Bản vẽ,,,,,Ngày…../ Tháng ….. /Năm,,
,I. NGUYÊN LIỆU,,,,,,,,,,,,,,
Stt,Tên Chi Tiết,Nguyên vật liệu,Quy cách tinh(mm),,,SL,"Thể tích
(m3)",Diện tích (m2),Quy cách thô(mm),,,"Số 
lượng","Thể tích
 (m3)",CHẤT LƯỢNG,GHI CHÚ
,,,Dày,Rông,Dài,,,,Dày,Rông,Dài,,,,
A,Cụm nóc,,,,,,0,0,,,,,0,,
1,Ván nóc,MDF,12,294,344,1,0.001213632,0.217584,,,,,0,"MDF Dán 1 mặt veneer oak 0,6mm
1 mặt thông 0,3 mm",
B,Cụm hông,,,,,,,,,,,,,,
2,Chân ,Oak,38,38,550,4,0.0031768,0.345952,,,,,0,"Phôi nguyên, ghép chồng",
3,Đố hông trên,Oak,38,45,314,2,0.0010738800000000001,0.11108799999999999,,,,,0,"Phôi nguyên, ghép chồng, M40/2",
4,Đố hông dưới,Oak,22,45,314,2,0.0006217200000000001,0.088112,,,,,0,"Phôi nguyên, ghép ngang,M40/2
",
5,Đố hông dưới,Oak,20,38,314,2,0.00047728,0.075888,,,,,0,"Phôi nguyên, ghép ngang,M40/2
",
6,Bạ bắt ray,Gỗ Thông,18,45,314,2,0.0005086800000000001,0.082368,,,,,0,"Phôi nguyên, ghép ngang,M40/2
",
7,Chỉ hông,Oak,7,11,139,4,4.2812e-05,0.020631999999999998,,,,,0,"Phôi nguyên, ghép ngang,
",
8,Chỉ hông,Oak,7,11,274,4,8.4392e-05,0.040071999999999997,,,,,0,"Phôi nguyên, ghép ngang,
",
9,Ke góc,Gỗ Thông,18,60,60,8,0.0005184,0.09215999999999999,,,,,0,"Phôi nguyên, ghép ngang dọc",
10,Ván hông,MDF,4,294,159,2,0.000373968,0.194232,,,,,0,"MDF Dán 1 mặt veneer oak 0,6mm
1 mặt thông 0,3 mm",
D,Cụm trước,,,,,,,,,,,,,,
11,Đố trước trên,Oak,30,38,364,1,0.00041496,0.051784,,,,,0,"Phôi nguyên, ghép chồng, M40/2",
12,Đố trước dưới,Oak,22,45,364,1,0.00036036,0.050755999999999996,,,,,0,"Phôi nguyên, ghép chồng, M40/2",
13,Đố trước dưới,Oak,20,38,364,1,0.00027664000000000003,0.043744,,,,,0,"Phôi nguyên, ghép chồng, M40/2",
14,Ván tầng,MDF,12,294,344,1,0.001213632,0.217584,,,,,0,"MDF Dán 1 mặt veneer oak 0,6mm
1 mặt thông 0,3 mm",
E,Cụm hậu,,,,,,,,,,,,,,
15,Ván hậu,MDF,4,162,348,1,0.00022550400000000001,0.11683199999999999,,,,,0,"MDF  dán 1 mặt veneer thông 0,3
1 mặt tạp 0,3",
16,Đố ngang trên,Oak,38,45,364,1,0.00062244,0.063844,,,,,0,"Phôi nguyên, ghép chồng, M40/2",
17,Đố ngang dưới,Oak,22,45,364,1,0.00036036,0.050755999999999996,,,,,0,"Phôi nguyên, ghép ngang, M40/2",
18,Đố trước dưới,Oak,20,38,364,1,0.00027664000000000003,0.043744,,,,,0,"Phôi nguyên, ghép chồng, M40/2",
19,Ke góc,Gỗ Thông,18,60,60,4,0.0002592,0.046079999999999996,,,,,0,"Phôi nguyên, ghép ngang ",
F,Cụm học kéo,,,,,,0,0,,,,,0,,
20,Chỉ mặt hộc kéo,Oak,7,20,134,2,3.752e-05,0.015031999999999998,,,,,0,"Phôi nguyên, ghép ngang,
",
21,Chỉ hông,Oak,7,20,378,2,0.00010584,0.041384,,,,,0,"Phôi nguyên, ghép ngang,
",
